mass_g,year,reclat,reclong,time_period,mass_kg,us_state
412.05,1999,35.03815,-116.7531,1991 to 2000,0.41205,california
278.1,1999,35.07402,-116.76117,1991 to 2000,0.2781,california
61.5,1999,35.05073,-116.76698,1991 to 2000,0.0615,california
68.02,1999,35.04625,-116.73547,1991 to 2000,0.06802,california
1369,1999,35.05865,-116.76872,1991 to 2000,1.369,california
4.4,1999,35.05847,-116.769,1991 to 2000,0.0044,california
162,1999,35.0501,-116.74443,1991 to 2000,0.162,california
3.2,1999,35.03815,-116.7531,1991 to 2000,0.0032,california
18.5,1999,35.05893,-116.76872,1991 to 2000,0.0185,california
14.2,1999,35.05947,-116.7685,1991 to 2000,0.014199999999999999,california
140,2000,35.06917,-116.7502,1991 to 2000,0.14,california
6.1,2000,35.06785,-116.7494,1991 to 2000,0.0060999999999999995,california
17.4,2000,35.07028,-116.74847,1991 to 2000,0.0174,california
117.5,2000,35.0925,-116.76083,1991 to 2000,0.1175,california
18.3,2000,35.05283,-116.76645,1991 to 2000,0.0183,california
10.4,2000,35.05283,-116.76538,1991 to 2000,0.0104,california
32.22,2000,35.06725,-116.74853,1991 to 2000,0.03222,california
90.04,2001,35.05602,-116.72368,2001 to 2010,0.09004000000000001,california
10.84,2001,35.05607,-116.72365,2001 to 2010,0.01084,california
13.87,2001,35.07362,-116.76372,2001 to 2010,0.013869999999999999,california
17.02,2001,35.06847,-116.76905,2001 to 2010,0.01702,california
17.7,2001,35.05865,-116.76872,2001 to 2010,0.0177,california
76.88,2002,35.06152,-116.76295,2001 to 2010,0.07687999999999999,california
9.87,2002,35.07802,-116.76777,2001 to 2010,0.009869999999999999,california
16.66,2002,35.07,-116.77,2001 to 2010,0.01666,california
43,2002,35.05835,-116.77403,2001 to 2010,0.043,california
42.57,2002,35.06888,-116.76197,2001 to 2010,0.042570000000000004,california
36.35,2002,35.05475,-116.75432,2001 to 2010,0.03635,california
187.55,2003,35.05452,-116.73005,2001 to 2010,0.18755000000000002,california
1.47,2004,35.08838,-116.75283,2001 to 2010,0.00147,california
54.31,2003,35.05717,-116.7205,2001 to 2010,0.054310000000000004,california
22.5,2004,35.04008,-116.75553,2001 to 2010,0.0225,california
512,2004,35.03842,-116.75818,2001 to 2010,0.512,california
16.36,2004,35.08958,-116.75007,2001 to 2010,0.01636,california
81.4,2004,35.05628,-116.73377,2001 to 2010,0.0814,california
71.8,2004,35.08758,-116.74603,2001 to 2010,0.0718,california
7.5,2006,35.05902,-116.76892,2001 to 2010,0.0075,california
16.2,2006,35.05122,-116.76742,2001 to 2010,0.0162,california
47.2,2006,35.07118,-116.77162,2001 to 2010,0.047200000000000006,california
21.3,2006,35.0742,-116.7637,2001 to 2010,0.0213,california
7.2,2009,35.0751,-116.75038,2001 to 2010,0.0072,california
23.04,1998,31.91667,-111.5,1991 to 2000,0.023039999999999998,arizona
