mass_g,year,reclat,reclong,time_period,mass_kg
28,1814,13.78333,78.56667,1950 and older,0.028
34650,1981,9.36667,42.41667,1981 to 1990,34.65
1000,1851,51.91667,8.38333,1950 and older,1
1320,1930,35,127.5,1950 and older,1.32
0.2,1817,35.65,139.33333,1950 and older,2e-4
9000,1934,50.31667,3.73333,1950 and older,9
1456,1944,57.81667,16.23333,1950 and older,1.456
3710,1959,41.38333,-86.6,1951 to 1960,3.71
1000,1878,26.8,82.53333,1950 and older,1
315,1921,28.38333,75.78333,1950 and older,0.315
8360,1961,32.675,-94.51167,1961 to 1970,8.36
680,1859,38.25,-86.16667,1950 and older,0.68
1110.6,1910,35.2945,136.70033,1950 and older,1.1105999999999998
1250,1890,28.95,0.81667,1950 and older,1.25
29000,1628,51.65,-1.51667,1950 and older,29
1544,1971,60.24556,22.06194,1971 to 1980,1.544
3500,1922,55.46667,13.78333,1950 and older,3.5
6100,1910,27.33333,35.66667,1950 and older,6.1
1000,1857,10,-84.1,1950 and older,1
20000,1869,59.85,17.66667,1950 and older,20
750,1897,33.6,130.43333,1950 and older,0.75
4500,1804,55.9,-4.23333,1950 and older,4.5
414,2003,34.45,132.38333,2001 to 2010,0.414
167.7,2003,1.345,31.47278,2001 to 2010,0.1677
305.5,1954,64.43333,21.2,1951 to 1960,0.3055
220000,1912,34.9,-110.18333,1950 and older,220
1415,1923,9.06667,38.41667,1950 and older,1.415
230000,1875,41.8,-91.86667,1950 and older,230
2420,1825,21.3,-157.86667,1950 and older,2.42
180,1956,35.66667,115.5,1951 to 1960,0.18
266.1,1963,39.35,-100.45,1961 to 1970,0.2661
49000,1751,46.1,16.33333,1950 and older,49
1600,2010,26.46469,106.63241,2001 to 2010,1.6
112,1877,50.3,8.91667,1950 and older,0.112
14000,1901,61.18333,22.68333,1950 and older,14
2000,1870,52.28333,7.7,1950 and older,2
2500,1957,-20,-45,1951 to 1960,2.5
3973,1936,58.2,82.93333,1950 and older,3.973
3457,1956,-32.1,28.33333,1951 to 1960,3.457
1200,1977,-23.2,-51.83333,1971 to 1980,1.2
7330,1975,-6.03333,145.36667,1971 to 1980,7.33
27000,1891,39.75,46.66667,1950 and older,27
880,1917,39.08333,-94.4,1950 and older,0.88
3000,1963,41,112,1961 to 1970,3
4576,1977,53.415,-111.3375,1971 to 1980,4.576
7000,1972,-25.5,-54.5,1971 to 1980,7
1300,1954,-8.93333,33.8,1951 to 1960,1.3
3050,1928,-31.18333,-57.95,1950 and older,3.05
2024,1879,-3.4,-44.33333,1950 and older,2.024
4720,1990,26.59083,-12.95217,1981 to 1990,4.72
704.5,1938,-8.41667,32.43333,1950 and older,0.7045
48000,1903,-32.5,21.9,1950 and older,48
973,1926,26.75,68.41667,1950 and older,0.973
1967,1621,31,75,1950 and older,1.967
22,1866,18.75,75.33333,1950 and older,0.022
20500,1979,39.7,105.8,1971 to 1980,20.5
34000,1889,43.83333,20.44167,1950 and older,34
3667,2009,46.42137,14.05217,2001 to 2010,3.667
5900,1873,31.3,72.38333,1950 and older,5.9
222,1964,31.91667,104.91667,1961 to 1970,0.222
600000,1890,30.80833,109.5,1950 and older,600
4000000,1976,44.05,126.16667,1971 to 1980,4000
100,2006,22.68,70.31333,2001 to 2010,0.1
30,1877,55.7,24.4,1950 and older,0.03
40300,1924,40.35,-104.9,1950 and older,40.3
483,1974,-11.85,15.83333,1971 to 1980,0.483
5000,1819,45.43333,-0.45,1950 and older,5
100000,1997,35.5,115.41667,1991 to 2000,100
680,1876,12.85,76.8,1950 and older,0.68
32490,1984,-7.71667,111.2,1981 to 1990,32.49
950,1976,35.2,118.8,1971 to 1980,0.95
25250,1968,38.74028,-7.27,1961 to 1970,25.25
91000,1821,44.71667,4.3,1950 and older,91
3000,1857,47.35,21.3,1950 and older,3
13400,1971,11.85,8.21667,1971 to 1980,13.4
89,1822,27.08333,78.33333,1950 and older,0.089
230,1838,27.25,79.96667,1950 and older,0.23
1900,1908,49.86667,30.83333,1950 and older,1.9
2000,1980,15,48.3,1971 to 1980,2
200000,1937,55.43333,53.25,1950 and older,200
350,1890,12.38333,78.51667,1950 and older,0.35
577,1858,45.13333,21.66667,1950 and older,0.577
950,1951,-6.83333,29.5,1951 to 1960,0.95
